ticker,alias,nome_do_ativo,categoria
Atlas Copco AB,ATLAS COPCO AB,ATO.US/USD,Outros
ATMOS ENERGY CORP,ATMOS ENERGY CORP,AUD/AED,Outros
Australian Dollar vs UAE Dirham,AUSTRALIAN DOLLAR VS UAE DIRHAM,AUD/CHF,Outros
Australian Dollar vs Swiss Franc,AUSTRALIAN DOLLAR VS SWISS FRANC,AUD/CNH,Outros
Australian Dollar vs Chinese Yuan,AUSTRALIAN DOLLAR VS CHINESE YUAN,AUD/CZK,Outros
Australian Dollar vs Czech Koruna,AUSTRALIAN DOLLAR VS CZECH KORUNA,AUD/DKK,Outros
Australian Dollar vs Danish Krone,AUSTRALIAN DOLLAR VS DANISH KRONE,AUD/HKD,Outros
Australian Dollar vs Hong Kong Dollar,AUSTRALIAN DOLLAR VS HONG KONG DOLLAR,AUD/HUF,Outros
Australian Dollar vs Hungarian Forint,AUSTRALIAN DOLLAR VS HUNGARIAN FORINT,AUD/ILS,Outros
Australian Dollar vs Israeli Shekel,AUSTRALIAN DOLLAR VS ISRAELI SHEKEL,AUD/JPY,Outros
Australian Dollar vs Yen,AUSTRALIAN DOLLAR VS YEN,AUD/MXN,Outros
Australian Dollar vs Mexican Peso,AUSTRALIAN DOLLAR VS MEXICAN PESO,AUD/NOK,Outros
Australian Dollar vs Norwegian Krone,AUSTRALIAN DOLLAR VS NORWEGIAN KRONE,AUD/NZD,Outros
Australian Dollar vs New Zealand Dollar,AUSTRALIAN DOLLAR VS NEW ZEALAND DOLLAR,AUD/PLN,Outros
Australian Dollar vs Zloty,AUSTRALIAN DOLLAR VS ZLOTY,AUD/SAR,Outros
Australian Dollar vs Saudi Riyal,AUSTRALIAN DOLLAR VS SAUDI RIYAL,AUD/SEK,Outros
Australian Dollar vs Swedish Krona,AUSTRALIAN DOLLAR VS SWEDISH KRONA,AUD/SGD,Outros
Australian Dollar vs Singapore Dollar,AUSTRALIAN DOLLAR VS SINGAPORE DOLLAR,AUD/THB,Outros
Australian Dollar vs Thai Baht,AUSTRALIAN DOLLAR VS THAI BAHT,AUD/TRY,Outros
Australian Dollar vs Turkish Lira,AUSTRALIAN DOLLAR VS TURKISH LIRA,AUD/ZAR,Outros
Australian Dollar vs Rand,AUSTRALIAN DOLLAR VS RAND,AUS.IDX/AUD,Outros
Australia 200 Index,AUSTRALIA 200 INDEX,AV.GB/GBX,Outros
Aviva PLC,AVIVA PLC,AVB.US/USD,Outros
AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES INC,AVE/USD,Outros
Aave vs US Dollar,AAVE VS US DOLLAR,AVGO.US/USD,Outros
Broadcom Limited,BROADCOM LIMITED,AVTR.US/USD,Outros
AVANTOR INC,AVANTOR INC,AWAY.US/USD,Outros
Amplify Travel TECH ETF,AMPLIFY TRAVEL TECH ETF,AWK.US/USD,Outros
AMERICAN WATER WORKS CO INC,AMERICAN WATER WORKS CO INC,AXP.US/USD,Outros
AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,AXTA.US/USD,Outros
AXALTA COATING SYSTEMS LTD,AXALTA COATING SYSTEMS LTD,AZM.IT/EUR,Outros
Azimut Holding Spa,AZIMUT HOLDING SPA,AZN.GB/GBX,Outros
AstraZeneca PLC,ASTRAZENECA PLC,AZN.US/USD,Outros
AstraZeneca PLC,ASTRAZENECA PLC,AZPN.US/USD,Outros
BA.GB/GBX,BA,BAE Systems PLC,Outros
BA.US/USD,BA,Boeing Co,Outros
BAB.GB/GBX,BAB,Babcock International Group PLC,Outros
BABA.US/USD,BABA,ALIBABA GROUP HOLDING-SP ADR,Outros
BAC.US/USD,BAC,BANK OF AMERICA CORP,Outros
BAER.CH/CHF,BAER,Julius Baer Group Ltd,Outros
BAH.US/USD,BAH,BOOZ ALLEN HAMILTON HOLDINGS,Outros
BAMI.IT/EUR,BAMI,Banco BPM Spa,Outros
BARC.GB/GBX,BARC,Barclays PLC,Outros
BAS.DE/EUR,BAS,BASF SE,Outros
BAT/USD,BATUSD,Basic Attnetion Token vs US Dollar,Outros
BATS.GB/GBX,BATS,British American Tobacco PLC,Outros
BAYN.DE/EUR,BAYN,Bayer AG,Outros
BBAJIOO.MX/MXN,BBAJIOO,Banco Del Bajio SA,Outros
BBD.US/USD,BBD,Banco Bradesco S.A.,Outros
BBVA.ES/EUR,BBVA,Banco Bilbao Vizcaya Argentaria SA,Outros
BBWI.US/USD,BBWI,BATH & BODY WORKS INC,Outros
BBY.US/USD,BBY,BEST BUY CO INC,Outros
BC.IT/EUR,BC,Brunello Cucinelli Spa,Outros
BCH/CHF,BCHCHF,Bitcoin Cash vs Swiss Franc,Outros
BCH/EUR,BCHEUR,Bitcoin Cash vs Euro,Outros
BCH/GBP,BCHGBP,Bitcoin Cash vs Pound Sterling,Outros
BCH/USD,BCHUSD,Bitcoin Cash vs US Dollar,Outros
BDEV.GB/GBX,BDEV,BARRATT DEVELOPMENTS PLC,Outros
BEI.DE/EUR,BEI,Beiersdorf AG,Outros
BELG.BE/EUR,BELG,Proximus,Outros
BERY.US/USD,BERY,BG.US/USD,Outros
BIDU.US/USD,BIDU,BAIDU INC - SPON ADR,Outros
BIIB.US/USD,BIIB,BIOGEN INC,Outros
BIO.US/USD,BIO,BIO-RAD LABORATORIES-A,Outros
BIRG.IE/EUR,BIRG,Bank Of Ireland Plc,Outros
BITO.US/USD,BITO,ProShares Bitcoin Strategy ETF,Outros
BK.US/USD,BK,BANK OF NEW YORK MELLON CORP,Outros
BKR.US/USD,BKR,BAKER HUGHES CO,Outros
BLND.GB/GBX,BLND,British Land Co PLC,Outros
BLT.GB/GBX,BLT,BHP Billiton PLC,Outros
BMRN.US/USD,BMRN,BIOMARIN PHARMACEUTICAL INC,Outros
BMW.DE/EUR,BMW,Bayerische Motoren Werke AG,Outros
BMY.US/USD,BMY,BRISTOL-MYERS SQUIBB CO,Outros
BN.FR/EUR,BN,Danone SA,Outros
BNP.FR/EUR,BNP,BNP Paribas SA,Outros
BNR.DE/EUR,BNR,BRENNTAG SE,Outros
BNZL.GB/GBX,BNZL,Bunzl PLC,Outros
BOLSAA.MX/MXN,BOLSAA,Bolsa Mexicana de Valores SAB de CV,Outros
BOSS.DE/EUR,BOSS,HUGO BOSS AG,Outros
BP.US/USD,BP,BP p.l.c.,Outros
BPE.IT/EUR,BPE,Bper Banca Spa,Outros
BPOP.US/USD,BPOP,POPULAR INC,Outros
BR.US/USD,BR,BROADRIDGE FINANCIAL SOLUTIO,Outros
BRBY.GB/GBX,BRBY,Burberry Group PLC,Outros
BRE.IT/EUR,BRE,Brembo Spa,Outros
BRENT.CMD/USD,BRENT,Brent Crude Oil,Outros
BRKB.US/USD,BRKB,BERKSHIRE HATHAWAY INC-CL B,Outros
BRKR.US/USD,BRKR,BRUKER CORP,Outros
BRO.US/USD,BRO,BROWN & BROWN INC,Outros
BRX.US/USD,BRX,BRIXMOR PROPERTY GROUP INC,Outros
BSX.US/USD,BSX,BOSTON SCIENTIFIC CORP,Outros
BT.GB/GBX,BT,BT Group PLC,Outros
BTC/CHF,BTCCHF,Bitcoin vs Swiss Franc,Outros
BTC/EUR,BTCEUR,Bitcoin vs Euro,Outros
BTC/GBP,BTCGBP,Bitcoin vs Pound Sterling,Outros
BTC/USD,BTCUSD,Bitcoin vs US Dollar,Outros
BTF.US/USD,BTF,Valkyrie Bitcoin Strategy ETF,Outros
BUGG.GB/GBP,BUGG,Global X Cybersecurity Ucits ETF,Outros
BUND.TR/EUR,BUND,Euro Bund,Outros
BURL.US/USD,BURL,BURLINGTON STORES INC,Outros
BWA.US/USD,BWA,BORGWARNER INC,Outros
BYND.US/USD,BYND,BEYOND MEAT INC,Outros
BZU.IT/EUR,BZU,Buzzi Unicem Spa,Outros
C.US/USD,C,CITIGROUP INC,Outros
CA.FR/EUR,CA,Carrefour SA,Outros
CABK.ES/EUR,CABK,CaixaBank,Outros
CACC.US/USD,CACC,CREDIT ACCEPTANCE CORP,Outros
CACI.US/USD,CACI,CACI INTERNATIONAL INC -CL A,Outros
CAD/AED,CADAED,Canadian Dollar vs UAE Dirham,Outros
CAD/CHF,CADCHF,Canadian Dollar vs Swiss Franc,Outros
CAD/CNH,CADCNH,Canadian Dollar vs Chinese Yuan,Outros
CAD/CZK,CADCZK,Canadian Dollar vs Czech Koruna,Outros
CAD/DKK,CADDKK,Canadian Dollar vs Danish Krone,Outros
CAD/HKD,CADHKD,Canadian Dollar vs Hong Kong Dollar,Outros
CAD/HUF,CADHUF,Canadian Dollar vs Hungarian Forint,Outros
CAD/ILS,CADILS,Canadian Dollar vs Israeli Shekel,Outros
CAD/JPY,CADJPY,Canadian Dollar vs Yen,Outros
CAD/MXN,CADMXN,Canadian Dollar vs Mexican Peso,Outros
CAD/NOK,CADNOK,Canadian Dollar vs Norwegian Krone,Outros
CAD/PLN,CADPLN,Canadian Dollar vs Zloty,Outros
CAD/RON,CADRON,Canadian Dollar vs Romanian Leu,Outros
CAD/SAR,CADSAR,Canadian Dollar vs Saudi Riyal,Outros
CAD/SEK,CADSEK,Canadian Dollar vs Swedish Krona,Outros
CAD/SGD,CADSGD,Canadian Dollar vs Singapore Dollar,Outros
CAD/THB,CADTHB,Canadian Dollar vs Thai Baht,Outros
CAD/TRY,CADTRY,Canadian Dollar vs Turkish Lira,Outros
CAD/ZAR,CADZAR,Canadian Dollar vs Rand,Outros
CAG.US/USD,CAG,CONAGRA FOODS INC,Outros
CAH.US/USD,CAH,CARDINAL HEALTH INC,Outros
CAP.FR/EUR,CAP,Cap Gemini SA,Outros
CARLB.DK/DKK,CARLB,Carlsberg A/S,Outros
CARR.US/USD,CARR,CARRIER GLOBAL CORP,Outros
CASY.US/USD,CASY,CASEY'S GENERAL STORES INC,Outros
CAT.US/USD,CAT,CATERPILLAR INC,Outros
CB.US/USD,CB,CHUBB LTD,Outros
CBK.DE/EUR,CBK,Commerzbank AG,Outros
CBOE.US/USD,CBOE,CBOE GLOBAL MARKETS INC,Outros
CCI.US/USD,CCI,CROWN CASTLE INTL CORP,Outros
CCK.US/USD,CCK,CROWN HOLDINGS INC,Outros
CCL.GB/GBX,CCL,Carnival PLC,Outros
CCL.US/USD,CCL,CARNIVAL CORP,Outros
CDAY.US/USD,CDAY,CERIDIAN HCM HOLDING INC,Outros
CDEV.US/USD,CDEV,CENTENNIAL RESOURCE DEVELO-A / Permian Resources Corp,Outros
CDNS.US/USD,CDNS,CADENCE DESIGN SYS INC,Outros
CDW.US/USD,CDW,CDW CORP/DE,Outros
CE.US/USD,CE,CELANESE CORP,Outros
CEMEXCPO.MX/MXN,CEMEXCPO,Cemex Sab de CV,Outros
CF.US/USD,CF,CF INDUSTRIES HOLDINGS INC,Outros
CFG.US/USD,CFG,CITIZENS FINANCIAL GROUP,Outros
CFR.CH/CHF,CFR,Richemont,Outros
CFR.US/USD,CFR,CULLEN/FROST BANKERS INC,Outros
CGNX.US/USD,CGNX,COGNEX CORP,Outros
CHD.US/USD,CHD,CHURCH & DWIGHT CO INC,Outros
CHE.IDX/CHF,CHE,Switzerland 20 Index,Outros
CHF/AED,CHFAED,Swiss Franc vs UAE Dirham,Outros
